Subject,Gender,Region,Education,DesireToKill,Disgustingness,Frighteningness
1,Female,North,some,10,High,High
1,Female,North,some,9,High,Low
1,Female,North,some,6,Low,High
1,Female,North,some,6,Low,Low
2,Female,North,advance,10,High,High
2,Female,North,advance,10,High,Low
2,Female,North,advance,,Low,High
2,Female,North,advance,10,Low,Low
3,Female,Europe,college,10,High,High
3,Female,Europe,college,10,High,Low
3,Female,Europe,college,10,Low,High
3,Female,Europe,college,5,Low,Low
4,Female,North,college,9,High,High
4,Female,North,college,6,High,Low
4,Female,North,college,9,Low,High
4,Female,North,college,6,Low,Low
5,Female,North,some,8.5,High,High
5,Female,North,some,5.5,High,Low
5,Female,North,some,6.5,Low,High
5,Female,North,some,3,Low,Low
6,Female,Europe,some,3,High,High
6,Female,Europe,some,7.5,High,Low
6,Female,Europe,some,0.5,Low,High
6,Female,Europe,some,2,Low,Low
7,Female,North,some,10,High,High
7,Female,North,some,10,High,Low
7,Female,North,some,10,Low,High
7,Female,North,some,10,Low,Low
8,Female,North,high,10,High,High
8,Female,North,high,9,High,Low
8,Female,North,high,10,Low,High
8,Female,North,high,10,Low,Low
9,Female,North,high,10,High,High
9,Female,North,high,6,High,Low
9,Female,North,high,9.5,Low,High
9,Female,North,high,9.5,Low,Low
10,Female,Other,high,,High,High
10,Female,Other,high,7,High,Low
10,Female,Other,high,10,Low,High
10,Female,Other,high,8.5,Low,Low
11,Male,North,some,0,High,High
11,Male,North,some,0,High,Low
11,Male,North,some,2.5,Low,High
11,Male,North,some,0,Low,Low
12,Male,North,some,10,High,High
12,Male,North,some,8.5,High,Low
12,Male,North,some,7.5,Low,High
12,Male,North,some,9.5,Low,Low
13,Female,North,less,8.5,High,High
13,Female,North,less,6.5,High,Low
13,Female,North,less,8.5,Low,High
13,Female,North,less,7,Low,Low
14,Female,North,some,8.5,High,High
14,Female,North,some,4,High,Low
14,Female,North,some,8,Low,High
14,Female,North,some,3,Low,Low
15,Male,North,some,7,High,High
15,Male,North,some,6,High,Low
15,Male,North,some,5,Low,High
15,Male,North,some,4,Low,Low
16,Male,North,high,9,High,High
16,Male,North,high,8.5,High,Low
16,Male,North,high,8.5,Low,High
16,Male,North,high,7,Low,Low
17,Male,North,some,10,High,High
17,Male,North,some,10,High,Low
17,Male,North,some,6,Low,High
17,Male,North,some,2,Low,Low
18,Female,North,high,10,High,High
18,Female,North,high,7.5,High,Low
18,Female,North,high,6,Low,High
18,Female,North,high,7.5,Low,Low
19,Female,North,some,10,High,High
19,Female,North,some,10,High,Low
19,Female,North,some,6,Low,High
19,Female,North,some,6.5,Low,Low
20,Female,North,some,9.5,High,High
20,Female,North,some,8.5,High,Low
20,Female,North,some,9,Low,High
20,Female,North,some,7,Low,Low
22,Female,North,some,9.5,High,High
22,Female,North,some,5,High,Low
22,Female,North,some,4.5,Low,High
22,Female,North,some,3,Low,Low
23,Female,Austral,some,7.5,High,High
23,Female,Austral,some,4.5,High,Low
23,Female,Austral,some,9.5,Low,High
23,Female,Austral,some,2.5,Low,Low
24,Female,North,less,10,High,High
24,Female,North,less,9,High,Low
24,Female,North,less,10,Low,High
24,Female,North,less,10,Low,Low
25,Male,Europe,high,1.5,High,High
25,Male,Europe,high,4,High,Low
25,Male,Europe,high,1.5,Low,High
25,Male,Europe,high,0,Low,Low
26,Female,Europe,some,5.5,High,High
26,Female,Europe,some,4.5,High,Low
26,Female,Europe,some,0.5,Low,High
26,Female,Europe,some,0.5,Low,Low
27,Female,North,less,10,High,High
27,Female,North,less,3.5,High,Low
27,Female,North,less,7.5,Low,High
27,Female,North,less,5,Low,Low
29,Female,Other,some,10,High,High
29,Female,Other,some,10,High,Low
29,Female,Other,some,5,Low,High
29,Female,Other,some,6.5,Low,Low
30,Female,North,some,8,High,High
30,Female,North,some,8,High,Low
30,Female,North,some,9,Low,High
30,Female,North,some,8,Low,Low
31,Female,North,some,6,High,High
31,Female,North,some,7.5,High,Low
31,Female,North,some,10,Low,High
31,Female,North,some,3,Low,Low
32,Male,Europe,some,10,High,High
32,Male,Europe,some,6.5,High,Low
32,Male,Europe,some,7,Low,High
32,Male,Europe,some,7.5,Low,Low
33,Male,North,some,4,High,High
33,Male,North,some,10,High,Low
33,Male,North,some,10,Low,High
33,Male,North,some,6.5,Low,Low
34,Male,Europe,college,6,High,High
34,Male,Europe,college,8.5,High,Low
34,Male,Europe,college,8.5,Low,High
34,Male,Europe,college,4.5,Low,Low
35,Male,North,some,4,High,High
35,Male,North,some,8,High,Low
35,Male,North,some,2,Low,High
35,Male,North,some,3,Low,Low
36,Male,North,some,4.5,High,High
36,Male,North,some,2,High,Low
36,Male,North,some,10,Low,High
36,Male,North,some,6,Low,Low
37,Female,North,some,10,High,High
37,Female,North,some,7,High,Low
37,Female,North,some,10,Low,High
37,Female,North,some,4,Low,Low
38,Female,North,some,10,High,High
38,Female,North,some,10,High,Low
38,Female,North,some,7,Low,High
38,Female,North,some,4.5,Low,Low
39,Male,North,some,9,High,High
39,Male,North,some,10,High,Low
39,Male,North,some,7,Low,High
39,Male,North,some,7,Low,Low
40,,,,9.5,High,High
40,,,,8,High,Low
40,,,,8.5,Low,High
40,,,,8,Low,Low
41,Female,North,some,7.5,High,High
41,Female,North,some,7.5,High,Low
41,Female,North,some,7.5,Low,High
41,Female,North,some,5,Low,Low
42,Female,North,high,9.5,High,High
42,Female,North,high,,High,Low
42,Female,North,high,8.5,Low,High
42,Female,North,high,5,Low,Low
43,Female,North,some,5.5,High,High
43,Female,North,some,0,High,Low
43,Female,North,some,2,Low,High
43,Female,North,some,2,Low,Low
45,Male,North,partial,8,High,High
45,Male,North,partial,6.5,High,Low
45,Male,North,partial,7,Low,High
45,Male,North,partial,7.5,Low,Low
46,Female,North,less,10,High,High
46,Female,North,less,1,High,Low
46,Female,North,less,4,Low,High
46,Female,North,less,3.5,Low,Low
47,Female,North,advance,2.5,High,High
47,Female,North,advance,0.5,High,Low
47,Female,North,advance,7.5,Low,High
47,Female,North,advance,5,Low,Low
48,Male,North,some,5.5,High,High
48,Male,North,some,9.5,High,Low
48,Male,North,some,3.5,Low,High
48,Male,North,some,2,Low,Low
49,Male,North,some,9.5,High,High
49,Male,North,some,1.5,High,Low
49,Male,North,some,8,Low,High
49,Male,North,some,4,Low,Low
50,Female,North,some,3.5,High,High
50,Female,North,some,4.5,High,Low
50,Female,North,some,6,Low,High
50,Female,North,some,5,Low,Low
51,Female,North,some,9,High,High
51,Female,North,some,8,High,Low
51,Female,North,some,2.5,Low,High
51,Female,North,some,5.5,Low,Low
52,Female,North,less,10,High,High
52,Female,North,less,10,High,Low
52,Female,North,less,10,Low,High
52,Female,North,less,10,Low,Low
53,Female,North,some,9,High,High
53,Female,North,some,4,High,Low
53,Female,North,some,8.5,Low,High
53,Female,North,some,7,Low,Low
54,Female,Other,some,10,High,High
54,Female,Other,some,6,High,Low
54,Female,Other,some,10,Low,High
54,Female,Other,some,5.5,Low,Low
56,Female,North,some,10,High,High
56,Female,North,some,10,High,Low
56,Female,North,some,10,Low,High
56,Female,North,some,10,Low,Low
57,Female,South,some,10,High,High
57,Female,South,some,10,High,Low
57,Female,South,some,10,Low,High
57,Female,South,some,9.5,Low,Low
58,Male,North,some,6,High,High
58,Male,North,some,7.5,High,Low
58,Male,North,some,4.5,Low,High
58,Male,North,some,6,Low,Low
59,Female,North,less,8.5,High,High
59,Female,North,less,10,High,Low
59,Female,North,less,6.5,Low,High
59,Female,North,less,7.5,Low,Low
60,Male,North,less,8,High,High
60,Male,North,less,8,High,Low
60,Male,North,less,7.5,Low,High
60,Male,North,less,3.5,Low,Low
61,Female,North,college,7.5,High,High
61,Female,North,college,5,High,Low
61,Female,North,college,7.5,Low,High
61,Female,North,college,2.5,Low,Low
62,Male,North,less,8,High,High
62,Male,North,less,3.5,High,Low
62,Male,North,less,9.5,Low,High
62,Male,North,less,3.5,Low,Low
64,Female,Europe,some,5,High,High
64,Female,Europe,some,,High,Low
64,Female,Europe,some,6,Low,High
64,Female,Europe,some,8.5,Low,Low
65,Female,North,less,2.5,High,High
65,Female,North,less,10,High,Low
65,Female,North,less,8.5,Low,High
65,Female,North,less,3,Low,Low
66,Male,North,less,8.5,High,High
66,Male,North,less,3,High,Low
66,Male,North,less,10,Low,High
66,Male,North,less,6,Low,Low
67,Male,North,high,9.5,High,High
67,Male,North,high,4.5,High,Low
67,Male,North,high,8,Low,High
67,Male,North,high,5.5,Low,Low
68,Male,North,high,7,High,High
68,Male,North,high,10,High,Low
68,Male,North,high,8,Low,High
68,Male,North,high,3,Low,Low
69,Male,North,college,6,High,High
69,Male,North,college,4,High,Low
69,Male,North,college,8.5,Low,High
69,Male,North,college,2,Low,Low
70,Female,North,less,10,High,High
70,Female,North,less,2.5,High,Low
70,Female,North,less,9,Low,High
70,Female,North,less,4,Low,Low
71,Female,North,less,10,High,High
71,Female,North,less,8.5,High,Low
71,Female,North,less,10,Low,High
71,Female,North,less,9,Low,Low
72,Female,North,some,10,High,High
72,Female,North,some,10,High,Low
72,Female,North,some,10,Low,High
72,Female,North,some,10,Low,Low
73,Female,North,some,5.5,High,High
73,Female,North,some,1,High,Low
73,Female,North,some,6,Low,High
73,Female,North,some,5.5,Low,Low
74,Male,North,less,9,High,High
74,Male,North,less,8.5,High,Low
74,Male,North,less,8.5,Low,High
74,Male,North,less,6,Low,Low
76,Female,North,some,9,High,High
76,Female,North,some,9,High,Low
76,Female,North,some,9,Low,High
76,Female,North,some,9,Low,Low
77,Female,North,some,6,High,High
77,Female,North,some,7.5,High,Low
77,Female,North,some,6,Low,High
77,Female,North,some,6,Low,Low
78,Female,North,less,5.5,High,High
78,Female,North,less,0.5,High,Low
78,Female,North,less,6.5,Low,High
78,Female,North,less,5,Low,Low
79,Male,North,less,7,High,High
79,Male,North,less,9,High,Low
79,Male,North,less,8,Low,High
79,Male,North,less,6,Low,Low
80,Female,North,less,9.5,High,High
80,Female,North,less,9,High,Low
80,Female,North,less,,Low,High
80,Female,North,less,1.5,Low,Low
81,Male,North,high,5.5,High,High
81,Male,North,high,10,High,Low
81,Male,North,high,4,Low,High
81,Male,North,high,5.5,Low,Low
82,Female,North,high,8.5,High,High
82,Female,North,high,9.5,High,Low
82,Female,North,high,9.5,Low,High
82,Female,North,high,9.5,Low,Low
83,Female,North,high,10,High,High
83,Female,North,high,8.5,High,Low
83,Female,North,high,8,Low,High
83,Female,North,high,8,Low,Low
84,Female,North,some,5,High,High
84,Female,North,some,0,High,Low
84,Female,North,some,5,Low,High
84,Female,North,some,0,Low,Low
85,Female,North,high,7,High,High
85,Female,North,high,0.5,High,Low
85,Female,North,high,3,Low,High
85,Female,North,high,3,Low,Low
86,Male,North,less,7.5,High,High
86,Male,North,less,8.5,High,Low
86,Male,North,less,7,Low,High
86,Male,North,less,7,Low,Low
87,Female,North,partial,5.5,High,High
87,Female,North,partial,3.5,High,Low
87,Female,North,partial,4,Low,High
87,Female,North,partial,5,Low,Low
88,Female,North,high,10,High,High
88,Female,North,high,10,High,Low
88,Female,North,high,10,Low,High
88,Female,North,high,10,Low,Low
89,Male,North,less,10,High,High
89,Male,North,less,9.5,High,Low
89,Male,North,less,8,Low,High
89,Male,North,less,7.5,Low,Low
90,Male,North,less,6.5,High,High
90,Male,North,less,4.5,High,Low
90,Male,North,less,8,Low,High
90,Male,North,less,6,Low,Low
91,Female,Other,some,8,High,High
91,Female,Other,some,8.5,High,Low
91,Female,Other,some,7.5,Low,High
91,Female,Other,some,7,Low,Low
92,Female,Europe,less,8.5,High,High
92,Female,Europe,less,4,High,Low
92,Female,Europe,less,9.5,Low,High
92,Female,Europe,less,6.5,Low,Low
93,Female,North,less,10,High,High
93,Female,North,less,10,High,Low
93,Female,North,less,10,Low,High
93,Female,North,less,6.5,Low,Low
95,Female,North,less,2,High,High
95,Female,North,less,2,High,Low
95,Female,North,less,4,Low,High
95,Female,North,less,3,Low,Low
96,Male,North,high,10,High,High
96,Male,North,high,10,High,Low
96,Male,North,high,10,Low,High
96,Male,North,high,10,Low,Low
97,Female,North,,10,High,High
97,Female,North,,8.5,High,Low
97,Female,North,,10,Low,High
97,Female,North,,8.5,Low,Low
98,Female,North,some,10,High,High
98,Female,North,some,8.5,High,Low
98,Female,North,some,10,Low,High
98,Female,North,some,1.5,Low,Low
99,Female,North,some,10,High,High
99,Female,North,some,10,High,Low
99,Female,North,some,10,Low,High
99,Female,North,some,9,Low,Low
100,Female,Europe,some,3,High,High
100,Female,Europe,some,2,High,Low
100,Female,Europe,some,5.5,Low,High
100,Female,Europe,some,5.5,Low,Low
