Subject,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
1,2.47917,4.20833,3.9375,3.95833,3.45833
2,2.60417,3.1875,3.95833,3.39583,3.22917
3,2.8125,2.89583,3.41667,2.75,3.5
4,2.89583,3.5625,3.52083,3.16667,2.79167
5,3.02083,3.33333,4.02083,3.20833,2.85417
6,2.52083,3.29167,3.4375,3.70833,2.5
7,2.35417,4.41667,4.58333,3.0625,3.33333
8,2.52083,3.5,2.89583,3.66667,3.0625
9,3.10417,3.8125,4.0625,3.77083,2.83333
10,2.6875,3.54708,3.78667,3.35417,3.10417
11,2.625,3.45833,2.89583,3.45833,3.375
12,2.375,3.77083,3.16667,3.5,3.52083
13,3.0625,3.41667,3.77083,3.8125,3.125
14,3.125,2.52083,2.64583,3.75,3.20833
15,2.58333,3.02083,3.5,3.41667,3.58333
16,2.97917,3.3125,3.35417,3.64583,3.47917
17,2.79167,3.79167,3.375,3.95833,2.72917
18,2.5625,3.54167,3.875,3.85417,3.3125
19,2.4375,3.72917,2.91188,3.625,2.77083
20,3.0625,3.25,3.3125,3.48875,3.5
21,3.22917,2.91667,3.41667,2.9375,2.77083
22,2.41667,3.4375,3.77083,3.5,3.5625
23,2.85417,3.64583,3.33333,3.10417,3.5
24,2.875,4.08333,3.3125,3,2.60417
25,2.85417,3.5625,4.04167,3.75,3.22917
26,2.875,3.58333,3.91667,3.875,3.41667
27,3.125,3.625,3.77083,3.89583,3.125
28,2.75,3.83333,3.8125,2.97917,2.58333
29,3.22917,3.20833,3.60417,3.52083,2.96167
30,2.5625,3.83333,3.41667,3.39583,3.58333
31,2.9375,3.0625,3.79167,3.375,2.85417
32,2.75,3.64583,3.6875,3.29167,3.32104
33,3.0625,3.14583,4.125,3.4375,3.14583
34,3.125,3.70833,3.5,3.54167,2.6875
35,1.91667,4.10417,3.64583,3.85417,2.70833
36,2.75,3.54167,3.54167,3.04167,3.20833
37,3.10417,3.47917,4.04167,3.70833,3.0625
38,3.02083,3.20833,3.83333,3.4375,2.75
39,2.16667,3.45833,3.5625,3.875,4
40,3.6875,3.5,3.875,3.41667,2.89583
41,2.20833,3.66667,3.72917,3.52083,3.25
42,2.10417,3.77083,3.22917,3.79167,3.64583
43,2.58333,3.6875,3.45833,3.47917,3.25
44,2.8125,3.375,3.25,3.875,3.04167
45,2.33333,4.1875,3.91667,4.125,3.125
46,3.04167,3.25,3.16667,3.4375,3.125
47,3.70833,3.72917,3.95833,3.0625,2.6875
48,3,3.35417,3.125,3.29167,3.22917
49,2.91667,3.5625,3.625,3.4375,3
50,2.77083,3.33333,3.27083,3.5625,3.60417
51,2.9375,4.22917,3.77,3.6875,2.625
52,2.6875,3.41667,3.1875,3.0625,3.47917
53,3.4375,3.02083,3.5625,3.41667,2.79167
54,3.02083,3.64583,3.22917,2.875,3.47917
55,2.85417,3.29167,3.75,3.29167,3.27083
56,3.39583,3,3.41667,3.41667,2.45833
57,2.79167,3.83333,3.79167,3.375,2.85417
58,3.39583,3.35417,3.10417,3.35417,3.39583
59,2.58333,3.35417,3.91667,3.75,3
60,3.875,2.64583,3.625,2.52083,3.29167
61,3,3.66667,3.47917,3.35417,3.02083
62,2.60708,3.54167,3.72917,3.31438,3.47917
63,2.87792,2.97917,3.25,2.98104,3.25
64,3.29167,3.5,3.61042,2.8125,3.16667
65,2.79167,3.39583,3.16667,3.08333,2.60417
66,2.80042,3.625,3.27083,3.35417,2.72917
67,2.77083,3.41667,3.58333,3.41667,3.58333
68,3.10417,3.375,3.20833,3.875,3.0625
69,3.19479,3.45833,3.79167,3.64583,2.52083
70,2.91667,3.4375,3.60417,3.35417,3.05625
71,3.02083,3.60417,3.20833,2.77083,3.35417
72,2.52083,3.47917,3.54167,3.4375,2.625
73,3.0625,3.72917,3.89583,3.04167,2.54167
74,2.97917,3.54167,3.875,3.27083,3.29167
75,3.10417,2.75,3.5625,3.04167,2.6875
76,3.60417,3.5,3.45833,3.47917,3.58333
77,2.6875,3.47917,3.97917,3.33333,3.875
78,1.64583,3.95833,3.89583,4.02083,4.41667
79,2.52083,3.6875,3.89583,3.41667,3.72917
80,3.5,3.47917,3.52083,3.08333,3.35417
81,3.58333,2.58333,3.08333,3.45833,3
82,3,3.41667,3.39583,3.375,3.15958
83,3.79167,3.02083,4.4375,3.4375,2.83333
84,1.75,4.22917,3.64583,3.89583,3.70833
85,3.10417,3.35417,3.8125,3.20833,2.4375
86,3.6875,2.95833,3.20833,3.41667,2.85417
87,3.70833,2.77083,3.83333,2.72917,3.52083
88,3.25,3.27083,3.33333,3.39583,2.89583
89,2.33333,3.58333,3.72917,3.7875,2.8125
90,2.35417,3.5625,3.29979,3.79167,2.75
91,2.60417,2.97917,3.64583,3.10417,3.58333
92,3.14583,3.77083,3.72917,3.375,2.95833
93,3.29167,3.16667,3.8125,3.14583,3.41667
94,3.14583,3.29167,3.22917,3.52083,2.97917
95,2.85417,2.83333,2.89583,3.5625,3.29167
96,2.83333,3.3125,3.39583,3.47917,3.27083
97,3.3125,3.64583,4.10417,3.83333,2.58333
98,2.52083,3.25,3.5,3.12562,3.125
99,2.83333,3.875,3.5,3.4375,4.1875
100,3.14583,3.83333,3.58333,2.70833,3.375
101,2.95833,3.20833,3.4375,3.72917,3.54167
102,2.97917,3.33333,3.02083,3.72917,3.0625
103,2.33333,3.97917,3.89583,3.60417,3.97917
104,2.81854,3.39583,2.95833,3.10417,3.27083
105,2.625,3.3125,3.59458,3.35417,3.5
106,2.6875,2.89583,3.41667,3.27083,3.47917
107,2.54167,4.1875,3.72917,2.5625,2.95833
108,2.3125,3.60417,4.29167,3.85417,3.72917
109,3.22917,3.70833,3.96375,2.75,2.97917
110,2.29167,3.6875,3.47917,3.5,3.85417
111,3.5625,3.5625,3.3125,4,3.33646
112,3.14583,3.5625,3.8125,3.4375,2.54167
113,2.5625,3.3125,3.53042,3.14583,3.125
114,2.89583,3.72917,3.5625,3.22917,3.27083
115,2.39583,3.79167,3.85417,3.25,3.70833
116,3,3.57167,3.41667,2.97917,3.20833
117,2.66958,3.9375,3.89583,3.60604,3.1875
118,3.14583,4.16667,4.08333,3.10417,3.125
119,2.5625,3.47917,3.16667,3.45833,3.1875
120,2.95833,3.75,3.22917,3.33333,2.97917
121,2.85708,3.72917,3.75,3.29354,3.14583
122,3,3.77083,3.77083,3.5625,2.77083
123,2.58333,3.33333,3.20833,2.91667,3.16667
124,3.22917,3.625,4.125,3.04167,3.4375
125,2.64583,3.22917,3.47917,3.375,3.5
126,2.66667,3.625,3.6875,3.52083,3.45833
127,2.55875,3.29167,3.64583,3.47917,3.47917
128,2.91667,3.62021,3.91667,3.47917,2.79167
129,2.35417,2.5625,3.54167,3.52083,3.91667
130,3.29167,3.35417,3.33333,4.08333,3.85417
131,3.125,3.64583,4.08333,3.72917,2.91667
132,3.02083,2.625,3.70833,3.29167,3.52083
133,2.1875,3.95833,4.08333,3.27083,3.54167
134,2.5625,4.25,3.60417,2.4375,3.02083
135,2.27083,3.875,3.25,2.375,3.1875
136,2.66667,3.70833,2.95833,3.60417,2.39583
137,2.70833,3.10417,3.66667,3.54167,3.3125
138,2.77083,3.3125,3.75,3.4375,2.97917
139,2.625,3.0625,3.3125,3.22917,3.39583
140,2.125,2.39583,3.29167,3.9375,3.70833
141,2.70833,3.8125,3.45917,3.0625,3.25
142,3.625,3.25,3.14583,3.16667,3.25
143,3.47917,3.125,2.97917,3.3125,3.1875
144,2,3.02083,3.79167,3.5,2.9375
145,3.27083,3.1875,3.16667,3.85417,2.83333
146,2.79167,3.6875,3.5,3.375,3.1875
147,2.76,3.60417,3.97917,3.66667,2.97917
148,1.89583,3.8125,3.75,2.33333,4.02083
149,2.33333,3.375,4.20833,4.41667,3.22917
150,3.25,3.85417,3.83333,3.5625,3.50042
151,3.85708,3.58333,3.95833,3.29354,2.74125
152,2.75,3.625,3.22917,3.4375,2.8125
153,2.85417,3.75,3.27083,3.54167,2.77083
154,2.54167,3.45833,3.72917,3.52083,3.4375
155,2.97917,3.22917,3.3125,3.77083,3.4375
156,2.6875,3.91667,4.16667,3.66667,3.75
157,3.0625,3.52083,2.875,3,3.75
158,2.625,3.52083,3.60417,3.54167,2.83667
159,2.47917,3.77083,3.25,3.83333,2.64583
160,2.27083,3.5625,3.58333,3.33333,3.08333
161,2.95833,3.375,3.29167,3.16667,3.29167
162,2.58625,3.6875,3.35417,3.62688,3.25
163,3.52083,3.04167,3.35417,3.35417,2.75
164,2.375,3.08333,3.54167,3.04167,3.70833
165,2.29167,4.27083,3.75,3.83333,3.625
166,3.08625,3.33333,3.20833,3.35604,3.60417
167,2.5625,3.52083,3.66667,3.5,3.5
168,3.375,3.47438,3.45833,3.50375,2.93125
169,2.75,3.66667,3.54167,3.16667,3.16667
170,2.79167,3.16667,3.0625,3.02083,3.0625
171,2.70833,3.14583,3.625,3.58333,3.77083
172,3.1875,3.66667,3.58333,2.85417,2.97917
173,2.5625,3.39583,3.0625,3.9375,3.70833
174,2.14875,4.02083,3.79167,2.58521,2.75
175,2.9375,3.60417,4.125,3.70833,3.54167
176,2.8125,3.625,3.4375,3.27083,3.35417
177,2.85708,3.72917,3.27083,3.58521,2.8125
178,3.02083,3.4375,3.16667,3.64583,4.04167
179,3.47917,3.125,3.5,2.91667,2.77083
180,2.625,3.29167,3.89583,3.29167,3.25
181,3.10417,2.97917,4.125,3.27083,2.83812
182,2.20833,4.08333,3.41667,3.29167,3.75
183,3.1875,3.16667,3.6875,3.52083,2.83333
184,2.66667,3.52083,3.5625,3.64583,3.4375
185,2.73208,3.77083,3.27083,3.16125,2.89583
186,2.4375,3.45833,3.5,3.8125,3.4375
187,2.48208,3.5,3.85208,3.25188,2.75
188,3.6875,3.125,4.17604,4.08333,2.54167
189,3.60417,3.1875,3.8125,3.5625,3.45833
190,2.97917,2.6875,3.16667,3.25,2.79167
191,2.20833,3.6875,3.70833,3.60417,3.67979
192,3.6875,3.375,3.54167,3.16667,2.89583
193,2.79167,3,3.3125,3.33333,3.27083
194,3.33333,3.58333,3.52083,3.55458,3.14583
195,2.33333,3.20833,3.33333,3.95833,3.89583
196,2.29167,3.79167,3.39583,3.20833,3.91667
197,2.64583,4.1875,3.70833,4.02083,2.97917
198,2.04458,3.27083,4.08333,4.08521,3.39583
199,2.97917,2.85417,3.0625,3.47917,2.875
200,2.79167,3.64583,4.1875,3.08333,3.22917
201,2.70833,3.54167,3.6875,3.77083,3.22917
202,2.70833,3.41667,3.14583,1.9375,2.97917
203,2.6875,3.35417,3.04167,3.375,3.1875
204,3.08333,3.64583,3.375,3.47917,3.8125
205,2.875,3.91667,3.75,2.97917,2.77083
206,2.29167,2.85417,4.1875,4.27083,3.1875
207,3.35417,3.91667,3.47917,3.16667,3.9375
208,2.45833,4,3.5625,3.5,3.27083
209,2.70833,3.33333,3.60417,3.45833,3.16667
210,2.45833,3.5,3.5,3.16667,3.5625
211,2.75,3.33333,3.64583,3.5625,3.25
212,2.58333,3.58333,3.22917,3.64583,2.95833
213,3.5,2.79167,3.1875,3.22917,3.10417
214,2.67042,3.35417,3.4375,3.37688,3.77083
215,3.33333,2.8125,2.875,3.04167,3.35417
216,3.08625,3.04167,3.89583,3.58521,3.4375
217,2.75,3.39583,3.5,3.52083,3.39583
218,2.79167,3.52083,3.45833,3.625,3.22917
219,2.41667,3.54167,3.54167,3.54167,2.75
220,2.58333,3.77083,3.89583,3.3125,3.29167
221,3.3125,3.29167,3.77083,3.97917,3.14583
222,2.77083,3.47917,3.5625,3.47917,3.33333
223,2.95833,3.64583,3.58333,3.0625,2.97917
224,2.77083,3.5,3.91667,3.45833,2.85417
225,2.60417,3.75,3.33333,3.64583,3.02083
226,2.375,4.125,3.66667,3.9375,3.22958
227,3.20833,3.77083,3.5625,3.5,3.0625
228,3.08625,3.47917,3.41667,3.54354,2.97917
229,2.8125,3.45833,3.41667,3.22917,3.14875
230,2.4375,4,4.1875,3.1875,3.375
231,2.85417,3.875,3.79167,3.8125,3.3125
232,3.0625,3.625,3.64583,3.22917,3.41667
233,2.45833,3.20833,3.20833,3.97917,3.72917
234,2.5,3.04167,3.8125,3.29167,3.22917
235,2.02083,3.875,3.875,3.25,3.25
236,2.3125,3.79167,3.3125,3.66667,3.60417
237,2.9375,3.41667,3.58333,3.85417,2.60417
238,2.72917,3.66667,3.41667,3.70833,3.04167
239,2.35417,3.5625,3.54167,3.45833,3.14583
240,2.77375,3.54167,3.1875,3.33521,2.875
241,3.60417,3.125,3.39583,3.25,2.6875
242,2.83333,3.20083,3.40375,3.44229,3.40208
243,2.52083,3.40125,3.39583,3.5,3.25
244,2.625,3.8125,3.52083,3.1875,3.27083
245,2.99875,4.125,4.45833,3.10417,2.80771
246,3.64583,2.61896,3.47917,3.41667,2.875
247,2.8125,2.66667,3.20833,3.0625,3.39583
248,2.58333,3.625,3.47917,3.27083,3.35417
249,3.1875,3.1875,3.89583,4.16667,3.47917
250,2.8125,3.02083,4.02083,3.875,3.20833
251,1.89583,3.35417,3.1875,3.33333,3.08333
252,2.60417,3.41667,4.04167,3.35417,3.22917
253,2.375,3.52083,3.25,3.35417,3.64583
254,2.54167,3.85417,4,3.16667,3.58333
255,2.375,3.375,3.85417,3.5,3.39583
256,2.89583,2.52083,3.49375,4.0625,4.22917
257,3.20833,3.26625,3.54167,3.54167,3.16667
258,2.95833,3.70833,4.25,2.97917,3.39583
259,2.125,3.66667,3.4375,3.5,3.5
260,2.95833,3.5,3.66667,3.64583,3.52083
261,2.83333,3.3125,3.5,3.625,3.5625
262,2.72917,3.875,3.85417,3.0625,3.33333
263,2.60417,3.14583,3.27083,3.5,3.16667
264,2.58333,3.64583,3.64583,3.16667,2.9375
265,2.64583,3.375,3.79167,3.72917,3.29167
266,3.75,3.29167,3.89583,4,3.10417
267,3,3.3125,4.0625,4.125,2.47917
268,2.41667,3.91667,3.25,3.64583,3.35417
269,2.77083,3.75,3.33333,3.02083,3.5
270,3.20833,3.45833,3.64583,2.97917,3.27083
271,2.0625,3.47604,3.1875,3.5625,3.02083
272,2.6875,3.45833,3.79167,3.4375,2.97917
273,1.91667,3.25,3.64583,3.41667,3.58333
274,4.35417,3.0625,4.22917,3.77083,2.85417
275,3.8125,3.41667,3.25,2.8125,2.79167
276,3.6875,2.95833,3.5625,3.75,2.70833
277,3.14583,2.9375,3.79167,2.95833,2.72917
278,3.0625,3.89583,3.89583,3.375,2.66667
279,2.29167,3.57771,3.52083,3.79167,3.45833
280,3.22917,3.09813,3.52083,3.4375,2.77083
281,3.5625,2.77083,3.54167,2.9375,2.625
282,2.625,3.25,2.91667,2.97917,2.8125
283,3.25,3.89583,3.64583,3.41667,3.16667
284,2.3125,3.54167,3.58333,3.14583,3.45833
285,2.77083,4.0625,3.85417,3.72917,3.70833
286,2.60333,3.625,2.91667,2.95833,2.95833
287,3.20833,3.52083,4.08333,3.89583,3.16667
288,2.39583,3.6875,4.35417,3.60417,2.9375
289,2.70833,3.97917,3.58333,2.77083,3.02083
290,3.625,2.33333,2.9375,3.375,3.20833
291,2.9375,3.60417,3.9375,3.27083,3.35417
292,3.54167,3.16667,3.4375,3.375,3.45833
293,2.04167,3.39583,3.16667,2.85417,3.9375
294,2.16667,3.91667,4,3.75,3.41667
295,1.83333,3.89583,3.5625,3.25,3.29167
296,2.39583,3.5625,3.45833,3.70833,3.33333
297,2.08333,3.54167,3.3125,2.83333,3.47917
298,2.54167,3.54167,3.83333,3.6875,3.54167
299,2.33333,2.77083,3.4375,2.3125,3.5625
300,2.39583,3.54167,3.75,3.47917,3.41667
301,2.9375,3.60417,3.83333,3.625,3.1875
302,3.02083,3.27083,3.16667,2.89583,3.125
303,2.02083,3.8125,3.8125,3.47917,3.54167
304,2.79167,3.9375,3.3125,3.33333,3.1875
305,2.47917,3.60417,3.41667,3.54167,3.33333
306,2.60417,4.22917,4.29167,3.45833,3.25
307,2.83333,3.39583,2.95833,2.97917,3.45833
308,2.85417,3.29167,3.89583,2.54167,2.54167
309,3.33333,3.77083,3.41667,3.54167,3.1875
310,2.66667,3.39583,3.25,2.66667,2.70833
311,2.47917,3.52083,3.56167,3.8125,3.16667
312,3.14583,3.60417,3.22917,3.125,3.5625
313,2.9375,3.1875,3.60417,3.58333,3
314,2.60312,3.29167,3.24146,3.04167,3.14583
315,3.20833,2.91938,2.79104,2.9375,2.875
316,3.10417,3.25,3.91667,2.8125,3.0625
317,3.33333,3.85417,3.72917,3.4375,2.27083
318,3.6875,2.74417,4.10417,2.79167,2.91667
319,2.54167,3.64604,3.625,3.5,3.22917
320,2.60417,3.47917,3.18812,3.35417,3.60417
321,2.64583,3.3125,3.25,3.35417,2.52083
322,4.08333,3.4375,4.08333,2.52083,3.375
323,2.20833,4.16667,3.54167,3.64875,3.35417
324,2.91667,3.375,3.77083,3.5625,2.9375
325,2.58333,3.97917,3.66667,3.1875,2.25
326,3.02083,3.5,3.10417,3.89583,3.83333
327,2.16667,3.1875,3.29167,3.375,3.35417
328,2.5,3.52083,3.1875,3.5,3.83333
329,2.39583,3.6875,3.5,3.47917,2.85417
330,3.10417,2.9375,3.89583,3.97917,3.52521
331,3.0625,3.97917,4.08333,3.3125,3.02083
332,2.20833,3.89583,3.41667,2.89583,3.29167
333,3.1875,3.10417,3.01875,3.69854,3.46833
334,2.8125,3.60417,3.66667,3.89583,3.625
335,2.64583,3.70833,3.9375,3.83333,3.9375
336,2.45833,3.8125,3.72917,3.16667,3.41667
337,2.58333,3.35417,3.6875,3.39583,2.91667
338,2.4375,3.83333,3.70833,3.75,3.4375
339,2.91667,3.64583,3.375,3.375,3.54167
340,2.89583,3.47917,3.375,3.6875,3
341,2.70833,3.79167,3.60417,3.75,3.20833
342,2.29167,3.79167,3.97917,3.25,3.77083
343,3.125,3.5625,3.52083,3.45833,2.77083
344,2.5,3.6875,3.35417,3.6875,3.8125
345,3.45833,3.47562,3.27083,3.1875,3.14583
346,2.91667,3.35417,3.52083,3.60417,3.625
347,2.20833,3.70833,3.8125,3.5,3.02083
348,2.70833,3.45833,3.6875,3,3.27083
349,3,3.8125,4.14583,3.89583,3.39583
350,2.54167,3.10417,3.83333,3.83333,3.3125
351,3.47917,3.54167,3.625,3.64583,3.0625
352,3.39583,3.75,4.04167,4.0625,3.39583
353,1.72917,4.0625,3.85417,3.4375,4.29167
354,3.27083,2.875,3.45833,3.35417,2.79167
355,3.27083,3.60417,3.10417,3.27083,3.29167
356,3.47917,3.375,4.20833,3.70833,3.5
357,2.25,3.66667,3.6875,3.8125,3.85417
358,2.97917,3.39583,3.41667,3.125,2.4375
359,2.79167,3.89583,4.20833,3.3125,3.22917
360,2.79167,3.8125,3.625,3.60417,3.22917
361,3.3125,3.4375,3.3125,3.35417,2.89583
362,3.54167,3.375,3.66667,3.25,3.08333
363,2.375,3.77083,3.79167,3.39583,3.0625
364,3.16667,3.52083,3.85417,3.16667,3.39583
365,2.75,3.85417,4.3125,3.54167,2.75
366,2.625,3.04167,3.72917,3.41667,3.08333
367,2.33333,3.08333,4,3.58771,4.08333
368,2.20833,3.58333,3.58333,4.14583,2.9375
369,2.39583,3.41667,3.5625,3.60417,3.375
370,2.47917,3.64583,3.60417,3.64583,3.70833
371,3.29167,3.35417,3.8125,3.04167,3.0625
372,2.5,3.54167,4.08333,3.83333,3.33333
373,2.66667,3.5,3.5625,3.3125,3.125
374,2.875,2.95833,3.375,3.52083,3.35417
375,1.9375,3.02083,3.16667,3.29167,2.8125
376,2.35417,3.6175,3.375,3.875,3.45833
377,2.83333,3.52083,3.39583,2.91667,3.1875
378,3.02083,3.77083,4.02083,3.39583,3.10417
379,2.29167,3.72917,3.79167,3.79167,3.41667
380,2.22917,4.125,4.45833,4.14583,3.8125
381,3.22917,3.58333,3.33333,3.02083,3.0625
382,3.22917,3.4375,3.39583,3.29167,3.1875
383,2.875,3.5625,3.47917,3.31542,3.20833
384,1.6875,4.25,3.9375,3.625,3.64583
385,2.58333,3.33333,3.5625,3.5,3.41667
386,2.4375,3.70833,3.16667,3.52083,3.14583
387,2.52083,3.6875,3.60417,3.39583,3.95833
388,2.79042,2.5,3.97917,3.85417,3.64583
389,3.95833,2.79167,4.08333,3.41667,3.375
390,3.1875,3.22917,3.47917,4.0625,3.35417
391,3.125,2.79167,3.41667,3.29167,3.375
392,3.5625,2.35417,3.25,3.25,2.79167
393,3.64583,3.70833,3.54167,4.02083,2.29167
394,3.65437,3.97917,3.60208,3.58333,2.79167
395,2.02083,3.72917,3.4375,3.66667,3.70833
396,2.72917,3.66667,2.9375,3.52083,3.0625
397,2.1875,3.22917,3.35417,3.20479,3.60417
398,2.58333,3.64583,3.70833,3.27083,3.9375
399,2.64583,3.97917,4.0625,3.10417,3.25
400,2.79167,3.58333,3.91667,3.75,2.35417
401,3.07125,3.33333,3.79167,4.27083,3.83333
402,3.47917,2.6875,3.33333,2.875,2.64583
403,3.125,3.41667,4.08333,3.39583,3.14583
404,2.45833,3.52083,3.66667,3.47917,3.5625
405,2.8125,2.95833,3.35417,3.625,3
406,2.16667,4.27083,3.16667,3.625,3.1875
407,2.70833,3.58333,3.27083,2.9375,2.9375
408,3.14583,3.5625,3.5625,3.45833,3.4375
409,2.75,4.10417,3.875,3.9375,4.29167
410,2.97917,3.33333,3.4375,3.375,2.79167
411,3.5,3.47917,3.83333,3.54167,2.89583
412,3.29167,3.625,3.64583,3.66667,2.72917
413,2.83333,3.39583,3.97917,3.6875,4.125
414,2.20833,4.08333,3.85417,4.20646,3.70833
415,3.5,3.29167,3.5625,3.0625,3.5625
416,2.8125,3.66021,3.5625,4.16667,3.14583
417,3.27083,3.52083,3.1875,3.08333,3
418,2.97917,3.35417,3.33333,3.64583,3.14583
419,2.97833,3.22917,4.22917,3.04167,3.25
420,2.58333,3.25,2.875,3.27083,3.72917
421,3.14583,3.45833,3.29167,3.41667,3.0625
422,2.85417,3.79167,3.64583,3.52521,3.29167
423,2.9375,3.59813,3.5625,3.50438,3.41667
424,2.64583,4.16667,4.02083,3.95833,3.25
425,1.97917,4.16667,3.27083,4.16667,3.4375
426,3.27083,3.9375,3.625,3.66667,3.45833
427,2.72917,3.20833,3.91667,3.58333,3.66667
428,3.02083,3.64583,3.875,3.83333,3.14583
429,2.91667,3.25,3.75,3.1875,3.5
430,3.35417,3.08333,3.83333,3.60417,2.66667
431,2.64583,3.39229,3.44979,3.625,3.54167
432,3.29167,3.64583,3.41667,3.1875,2.5625
433,2.83333,3.52083,3.9375,3.22917,2.89583
434,2.47917,3.8125,4,3.72917,3.27083
435,2.91667,3.39583,3.22833,3.5,2.5
436,3.16667,3.0625,3.92229,3.27083,2.66667
437,3.52083,3.91667,3.91667,3.44708,3.02083
438,3,3.02083,3.75,3.8125,2.72917
439,3.10417,3.4375,2.88458,3.1875,3.14583
440,2.1875,3.77083,3.95833,3.41667,3.02083
441,2.47917,3.9375,3.98188,3.5625,3.41667
442,3,3.625,3.79167,3.375,2.89583
443,2.04167,3.0625,3.5,3.58333,3.97917
444,3.83333,3.70833,3.58333,3.00708,2.3125
445,3.04042,3.0625,2.97917,3.3125,3.77083
446,3.16667,3.3125,3.25,3.79167,3.04167
447,2.25,3.41667,4.05771,3.77083,4.0625
448,3.77083,3.31521,3.66667,3.54167,3.14583
449,3.14583,3.66667,3.25,3.58333,3.72917
450,2.4375,3.375,3.375,3.1875,2.9375
451,3.54167,3.5,3.72917,2.35417,2.72917
452,2.47917,3.375,4.08333,3.625,2.47917
453,3.04104,3.14583,2.97917,3.22917,2.77083
454,3.35417,3.70833,3.39583,3.5625,3.08333
455,2.9375,3.64583,3.98542,3.77083,3.08333
456,2.81146,4.08333,3.85417,3.6875,3.74125
457,3.91667,3.16667,3.27083,3.70833,3.4375
458,2.83333,3.54167,3.27083,3.375,3.1875
459,2.72917,4.02083,4.10417,3.83333,3.27083
460,3.33333,3.5,3.58333,3.625,3.35417
461,2.0625,3.64583,3.625,3.4375,3.1875
462,2.52083,3.58333,3.95833,3.3125,3.1875
463,3.04167,4.125,4.08333,2.875,3
464,2.52083,3.54167,3.83333,3.54167,3.54167
465,2.33333,3.3125,3.25,3.27083,3.39583
466,2.58333,3.64583,3.20833,4.02083,3.4375
467,2.60417,3.25,2.91667,3.41667,3.27083
468,2.4375,3.875,4,3.6875,2.95833
469,2.70833,3.60417,3.16667,3.54167,3.02083
470,1.95833,4.29167,4.3125,2.72917,2.79167
471,3.0625,3.22917,3.41667,3.39583,2.79167
472,3.60417,2.85417,3.91667,3.6875,1.8125
473,2.9375,3.54167,3.72917,3.08333,2.125
474,2.37104,3.33854,2.66667,3.59729,3.5625
475,3.35417,3.27083,3.60417,3.33333,3.16667
476,2.6875,3.66667,3.37292,3.16667,2.4375
477,2.9375,3.8125,4.0625,3.29167,2.75
478,3.47917,3.89583,3.10417,3.25,3.3125
479,4.10417,3.52083,4.40708,3.60438,2.33333
480,2.60417,3.83333,4.125,3.45833,2.79167
481,2.29167,3.22917,3.72917,3.70833,3.6875
482,2.3125,3.6875,3.29167,2.8125,3.5625
483,4.375,3.54167,3.79167,2.97917,2.58333
484,3.27083,3.14583,3.35417,3.83333,2.83333
485,2.52083,3.625,3.6875,4,2.8125
486,1.9375,3.8125,3.95833,3.89583,3.79167
487,2.6875,3.41667,4.525,3.91667,3.47917
488,3.5,3.1875,3.875,4.12563,3.02083
489,2.4375,3.85417,3.6875,4.02083,3.52083
490,2,3.54167,4.14583,3.625,3.0625
491,2.625,3.64583,3.77083,3.52083,3.83333
492,2.83333,3.33333,3.60417,3.33333,3.41667
493,3.10417,3.3125,3.75,3.52083,3.25
494,2.89583,3.125,3.875,3.6875,3.79167
495,2.5625,3.5,3.14583,3.3125,3.08333
496,3.0625,3.4375,3.32854,3.04167,3.125
497,3.08333,3.39583,4,3.22917,3.10417
498,3.52083,2.41667,3.0625,3.5625,3
499,2.08333,3.66667,3.58333,3.45833,3.39583
500,2.54167,3.5625,3.14583,3.45833,2.89583
